OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
469,27,037,Los Angeles,78.2lll,Bixby Knolls/Long Beach Central,Urban,7556.45392095,0.35096251,74183,0,2,274,404.15693431,2,0,0.00368042917943967,0.408778897459088
470,22,037,Los Angeles,78.2m,Bellflower/Paramount South,Urban,12137.46430607,0.40802208,41000,0,3,270.5,368.66913124,3,0,0.0020843331665219,0.256249134704264
471,24,037,Los Angeles,78.2mm,Pasadena South/San Marino/South Pasadena,Urban,5264.97524774,0.38290652,81245,0,1,251,412.83665339,1,0,0.00497983222703624,0.483557166628936
472,25,037,Los Angeles,78.2mmm,Downtown Southeast/Florence North,Urban,11810.71118423,0.67105829,22540,1,10,24,4236.625,5,5,0.00210468234240579,0.275871834748701
473,22,037,Los Angeles,78.2n,Cerritos/Hawaiian Gardens,Urban,8128.67099749,1.00917647,70402,0,4,61,1799.80327869,2,2,0.00339255722769849,0.363678571931131
474,20,037,Los Angeles,78.2nn,Montebello North/Monterey Park/South San Gabriel,Urban,6896.86966435,0.29857187,50281,0,2,117,703.16239316,2,0,0.00299637528269159,0.283780600937963
475,29,037,Los Angeles,78.2nnn,Crenshaw/Culver City East/Mid-City South/West Adams,Urban,16529.37221486,0.14999355,49003,1,10,8.5,12835.05882353,5,5,0.00167479500123591,0.26500894380046
476,30,037,Los Angeles,78.2o,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,Urban,3780.58678551,2.99054578,103214,0,2,100,1241.55,1,1,0.00806949406887725,0.521225667297042
477,21,037,Los Angeles,78.2oo,El Monte/Five Points,Urban,12189.52565688,0.44644197,29252,1,7,67,1507.62686567,5,2,0.0020852745301454,0.284746679684037
478,26,037,Los Angeles,78.2ooo,Paramount North/Willowbrook,Urban,12505.95701255,0.26095104,32260,1,10,41,3354.26829268,5,5,0.00272831865004264,0.574800082332939
479,32,037,Los Angeles,78.2p,Long Beach Port/San Pedro East/Wilmington,Urban,5368.03229607,0.18690385,31585,1,10,32,3619.625,5,5,0.00545933414582578,1.50725779600877
480,25,037,Los Angeles,78.2pp,Hacienda Heights/Industry Central,Urban,3291.13426751,2.41513914,63130,1,5,41,2516.75609756,1,4,0.00792774323758749,0.63064546094179
481,27,037,Los Angeles,78.2ppp,Pacoima East/Sun Valley West,Urban,7020.89757221,0.36645284,23013,1,9,19,5505.94736842,4,5,0.00375179825118721,0.475628014330474
482,25,037,Los Angeles,78.2q,Del Aire/Inglewood West/Los Angeles International Airport,Urban,5166.28456036,0.3796563,54773,0,3,129,782.46511628,3,0,0.00492567767719265,0.409185400508648
483,27,037,Los Angeles,78.2qq,Asuza/Charter Oak/Covina,Urban,6843.74980519,0.72693015,50947,0,4,65,1852.43076923,2,2,0.00444966248733181,0.602152782401822
484,22,037,Los Angeles,78.2qqq,Rosemead/San Gabriel South/South El Monte West/Temple City West,Urban,10362.04295331,0.43810171,56697,1,6,51,1778.1372549,4,2,0.00221728654787512,0.295847314566747
485,20,037,Los Angeles,78.2r,Inglewood East/Lennox,Urban,12607.79007015,0.18949808,31926,1,10,18,4415.72222222,5,5,0.00159321096020904,0.233401656582367
486,26,037,Los Angeles,78.2rr,Glendale Northeast/La Canada-Flintridge/La Crescenta/Montrose/Sunland/Tujunga/Verdugo City,Urban,2935.49973965,0.9965807,93241,0,4,46,2424.15217391,1,3,0.00980693792689635,0.775773513513126
487,23,037,Los Angeles,78.2rrr,La Mirada/Santa Fe Springs South,Urban,5753.01789079,0.91311944,73982,0,2,71,1421.90140845,1,1,0.00455205748789922,0.470310765864592
488,20,037,Los Angeles,78.2s,South Central Southwest,Urban,17220.24285044,0.17210843,34106,1,10,13,6727.61538462,5,5,0.00123191384955135,0.218066751632167
489,23,037,Los Angeles,78.2ss,Pomona East and South,Urban,8383.61152635,0.69817415,28451,1,6,69,1670.85507246,4,2,0.00351370736188983,0.374058476080014
490,19,037,Los Angeles,78.2sss,Downey Southwest/Lynwood North Central/South Gate East,Urban,10675.96380717,0.75802301,13507,0,4,76,1274.46052632,3,1,0.00230861490854295,0.415337630599587
491,20,037,Los Angeles,78.2t,Hermosa Beach/Lawndale North/Manhattan Beach/Redondo Beach North,Urban,10585.59884321,0.44714669,75250,0,3,49,1933.81632653,1,2,0.00223322111878588,0.348692795796699
492,24,037,Los Angeles,78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,2606.97831692,2.18304024,81227,0,1,156,730.63461538,1,0,0.0114564292862269,0.648636511280201
493,31,037,Los Angeles,78.2ttt,Burbank North/North Hollywood South,Urban,6131.07474834,0.40973064,96962,0,2,159,809.9245283,2,0,0.0052714659477715,0.511257051362142
494,20,037,Los Angeles,78.2u,Redondo Beach Central and South/Torrance West Central,Urban,9585.93244489,0.18834982,79524,0,1,154,595.16233766,1,0,0.0024397874378792,0.307345271175635
495,19,037,Los Angeles,78.2uu,La Habra Heights/Whittier,Urban,4412.96381528,3.83225867,31142,0,2,139,614.37410072,2,0,0.0049870364528033,0.434224932273945
496,21,037,Los Angeles,78.2uuu,Athens/Gardena Northeast/Harbor Gateway North,Urban,7470.69090581,0.48406647,41784,1,9,9,9413.88888889,4,5,0.00283014592741893,0.397930947093424
497,25,037,Los Angeles,78.2v,Carson/Compton West/Rancho Dominguez,Urban,4779.60880011,0.50790906,64754,1,6,41,2663.04878049,2,4,0.00569445509836441,0.400647848809103
